length,nonPrint,specialChars,sqlKeys,jsKeys,cmdKeys,label
46,1,10,0,4,0,XSS
55,2,10,1,3,1,XSS
54,2,10,1,3,1,XSS
43,1,10,0,3,0,XSS
59,3,11,1,4,0,XSS
58,2,10,1,4,0,XSS
59,2,10,1,3,0,XSS
56,2,10,1,3,0,XSS
44,1,10,0,4,1,XSS
45,1,10,0,3,0,XSS
45,1,10,1,3,0,XSS
44,1,10,0,3,1,XSS
43,1,10,0,3,0,XSS
44,1,10,0,3,1,XSS
42,1,10,0,3,0,XSS
56,2,10,1,3,1,XSS
56,2,13,1,3,0,XSS
59,2,13,1,4,0,XSS
61,2,13,1,4,0,XSS
61,2,13,2,4,0,XSS
61,2,13,2,4,2,XSS
53,3,10,1,1,0,XSS
59,3,10,2,1,0,XSS
78,4,12,3,2,0,XSS
77,5,13,2,2,0,XSS
50,3,10,1,3,0,XSS
52,3,10,1,3,0,XSS
61,2,10,2,1,1,XSS
60,2,10,2,1,1,XSS
62,2,10,2,1,1,XSS
66,4,12,2,4,0,XSS
40,1,10,0,2,0,XSS
46,1,10,0,3,0,XSS
55,2,10,1,2,1,XSS
54,2,10,1,2,1,XSS
43,1,10,0,2,0,XSS
70,4,12,2,3,0,XSS
58,2,10,1,3,0,XSS
59,2,10,1,2,0,XSS
56,2,10,1,2,0,XSS
44,1,10,0,3,1,XSS
45,1,10,0,2,0,XSS
45,1,10,1,2,0,XSS
44,1,10,0,2,1,XSS
43,1,10,0,2,0,XSS
44,1,10,0,2,1,XSS
42,1,10,0,2,0,XSS
56,2,10,1,2,1,XSS
